Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1547471874937,2019-01-14,13:17:54.937,0,Disconnection ventilator,Disconnection ventilator,,30,DISCONNECT  ,Unknown,Active
1547471883922,2019-01-14,13:18:03.922,9,Disconnection ventilator,Disconnection ventilator,30,-1,,Active,NotActive
1547471888937,2019-01-14,13:18:08.937,14,Respiratory rate > high limit,Respiratory rate > high limit,,29,RESP RATE HI,Unknown,Active
1547471904937,2019-01-14,13:18:24.937,30,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547477592936,2019-01-14,14:53:12.936,5718,Minute volume > high limit,Minute volume > high limit,,29,MIN VOL HIGH,Unknown,Active
1547477599920,2019-01-14,14:53:19.920,5725,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547477612951,2019-01-14,14:53:32.951,5738,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547477623936,2019-01-14,14:53:43.936,5749,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547490822930,2019-01-14,18:33:42.930,18948,Disconnection ventilator,Disconnection ventilator,-1,30,DISCONNECT  ,NotActive,Active
1547490824915,2019-01-14,18:33:44.915,18950,Disconnection ventilator,Disconnection ventilator,30,-1,,Active,NotActive
1547508058937,2019-01-14,23:20:58.937,36184,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547508085937,2019-01-14,23:21:25.937,36211,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547508503923,2019-01-14,23:28:23.923,36629,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547508517923,2019-01-14,23:28:37.923,36643,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547509977938,2019-01-14,23:52:57.938,38103,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547509986938,2019-01-14,23:53:06.938,38112,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547515595915,2019-01-15,01:26:35.915,43721,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547515602915,2019-01-15,01:26:42.915,43728,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547517495917,2019-01-15,01:58:15.917,45621,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547517499933,2019-01-15,01:58:19.933,45625,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547517506933,2019-01-15,01:58:26.933,45632,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547517520933,2019-01-15,01:58:40.933,45646,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547517577934,2019-01-15,01:59:37.934,45703,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547517592919,2019-01-15,01:59:52.919,45718,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547517623935,2019-01-15,02:00:23.935,45749,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547517628935,2019-01-15,02:00:28.935,45754,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547517630919,2019-01-15,02:00:30.919,45756,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547517646919,2019-01-15,02:00:46.919,45772,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547517688935,2019-01-15,02:01:28.935,45814,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547517692935,2019-01-15,02:01:32.935,45818,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547517840937,2019-01-15,02:04:00.937,45966,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547517844937,2019-01-15,02:04:04.937,45970,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547517858938,2019-01-15,02:04:18.938,45984,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547517861922,2019-01-15,02:04:21.922,45987,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547517954928,2019-01-15,02:05:54.928,46080,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547517956931,2019-01-15,02:05:56.931,46082,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547518050933,2019-01-15,02:07:30.933,46176,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547518061918,2019-01-15,02:07:41.918,46187,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547518073918,2019-01-15,02:07:53.918,46199,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547518080934,2019-01-15,02:08:00.934,46206,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547518151921,2019-01-15,02:09:11.921,46277,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547518155921,2019-01-15,02:09:15.921,46281,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
