Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1547630280219,2019-01-16,09:18:00.219,0,Minute volume > high limit,Minute volume > high limit,,29,MIN VOL HIGH,Unknown,Active
1547630285203,2019-01-16,09:18:05.203,5,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547630363220,2019-01-16,09:19:23.220,83,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547630370220,2019-01-16,09:19:30.220,90,Respiratory rate > high limit,Respiratory rate > high limit,,29,RESP RATE HI,Unknown,Active
1547630376204,2019-01-16,09:19:36.204,96,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547630382189,2019-01-16,09:19:42.189,102,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547630408205,2019-01-16,09:20:08.205,128,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547630413189,2019-01-16,09:20:13.189,133,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547630575207,2019-01-16,09:22:55.207,295,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547630584191,2019-01-16,09:23:04.191,304,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547631361198,2019-01-16,09:36:01.198,1081,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547631378198,2019-01-16,09:36:18.198,1098,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547631916205,2019-01-16,09:45:16.205,1636,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547631917189,2019-01-16,09:45:17.189,1637,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632043190,2019-01-16,09:47:23.190,1763,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632056206,2019-01-16,09:47:36.206,1776,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632089206,2019-01-16,09:48:09.206,1809,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632094191,2019-01-16,09:48:14.191,1814,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632164192,2019-01-16,09:49:24.192,1884,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632169192,2019-01-16,09:49:29.192,1889,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632188207,2019-01-16,09:49:48.207,1908,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632196192,2019-01-16,09:49:56.192,1916,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632294209,2019-01-16,09:51:34.209,2014,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632301209,2019-01-16,09:51:41.209,2021,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632382210,2019-01-16,09:53:02.210,2102,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632387210,2019-01-16,09:53:07.210,2107,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632404195,2019-01-16,09:53:24.195,2124,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632405195,2019-01-16,09:53:25.195,2125,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632469211,2019-01-16,09:54:29.211,2189,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632470195,2019-01-16,09:54:30.195,2190,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632537217,2019-01-16,09:55:37.217,2257,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632538217,2019-01-16,09:55:38.217,2258,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632820215,2019-01-16,10:00:20.215,2540,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547632824215,2019-01-16,10:00:24.215,2544,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547632927216,2019-01-16,10:02:07.216,2647,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547632933200,2019-01-16,10:02:13.200,2653,Minute volume < low limit,Minute volume < low limit,,29,MIN VOL LOW ,Unknown,Active
1547632936232,2019-01-16,10:02:16.232,2656,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1547632939201,2019-01-16,10:02:19.201,2659,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547634019209,2019-01-16,10:20:19.209,3739,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547634032209,2019-01-16,10:20:32.209,3752,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547634231212,2019-01-16,10:23:51.212,3951,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547634238196,2019-01-16,10:23:58.196,3958,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547634304197,2019-01-16,10:25:04.197,4024,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547634307213,2019-01-16,10:25:07.213,4027,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547634384217,2019-01-16,10:26:24.217,4104,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547634387202,2019-01-16,10:26:27.202,4107,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547634529216,2019-01-16,10:28:49.216,4249,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547634531200,2019-01-16,10:28:51.200,4251,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547634586217,2019-01-16,10:29:46.217,4306,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547634592217,2019-01-16,10:29:52.217,4312,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547635339213,2019-01-16,10:42:19.213,5059,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547635359213,2019-01-16,10:42:39.213,5079,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547635379198,2019-01-16,10:42:59.198,5099,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547635383213,2019-01-16,10:43:03.213,5103,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547635842210,2019-01-16,10:50:42.210,5562,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547635846210,2019-01-16,10:50:46.210,5566,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547635905210,2019-01-16,10:51:45.210,5625,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547635906195,2019-01-16,10:51:46.195,5626,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547635962211,2019-01-16,10:52:42.211,5682,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547635982196,2019-01-16,10:53:02.196,5702,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547637803215,2019-01-16,11:23:23.215,7523,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547637818215,2019-01-16,11:23:38.215,7538,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547637945201,2019-01-16,11:25:45.201,7665,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547637950201,2019-01-16,11:25:50.201,7670,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547638515218,2019-01-16,11:35:15.218,8235,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547638517218,2019-01-16,11:35:17.218,8237,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547638592210,2019-01-16,11:36:32.210,8312,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547638604225,2019-01-16,11:36:44.225,8324,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547638652211,2019-01-16,11:37:32.211,8372,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547638655195,2019-01-16,11:37:35.195,8375,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
